cpu-cores-available,cpu-cores-utilized,cpu-manufacturer,cpu-model-name,cpu-tdp,gpu-count,gpu-model-name,gpu-tdp,instance-class,memory-available
64.00,32,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL,Intel® Xeon® 8171M 2.1 GHz,Intel® Xeon® E5-2673 v4 2.3 GHz",270.00,,,,Standard_E32_v3,256.00
64.00,32,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL",270.00,,,,Standard_E32_v4,256.00
64.00,32,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_E32_v5,256.00
128.00,32,AMD,"AMD EPYC™ 7452,AMD EPYC™ 7763",280.00,,,,Standard_E32a_v4,256.00
128.00,32,AMD,AMD EPYC™ 7763,280.00,,,,Standard_E32ads_v52,256.00
128.00,32,AMD,"AMD EPYC™ 7452,AMD EPYC™ 7763",280.00,,,,Standard_E32as_v4,256.00
128.00,32,AMD,AMD EPYC™ 7763,280.00,,,,Standard_E32as_v5,256.00
52.00,32,Intel,Intel® Xeon® Platinum 8272CL,205.00,,,,Standard_E32bs_v5,256.00
52.00,20,Intel,Intel® Xeon® Platinum 8272CL,205.00,,,,Standard_E32bs_v5,160.00
64.00,32,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL",270.00,,,,Standard_E32d_v4,256.00
64.00,32,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_E32d_v5,256.00
64.00,32,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL",270.00,,,,Standard_E32ds_v4,256.00
128.00,32,Ampere,Ampere® Altra®,180.00,,,,Standard_E32pds_v5,208.00
128.00,32,Ampere,Ampere® Altra®,180.00,,,,Standard_E32ps_v5,208.00
64.00,32,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL,Intel® Xeon® 8171M 2.1 GHz,Intel® Xeon® E5-2673 v4 2.3 GHz",270.00,,,,Standard_E32s_v3,256.00
